Item,Description,Category,Fqty,Shortage,SupplierID
8411380,Surface mounted common mode choke EXCX4CE900U 90O@100Mhz 20%@100Mhz 5V 0.1A 1O 3O 1GHz 0.65mm*0.5mm*0.3mm Longqi,317.General Electronic Materials-02.inductor,60000,0,O19
4712993,SHIELD-COVER 22811 AA513-PMK Copper-Nickel-Zinc,321. Structured parts-12.smt small hardware,7379,0,J4
4712984,SHIELD-COVER 22811 AA513-WCN-CN Copper-Nickel-Zinc,321. Structured parts-12.smt small hardware,5071,0,J4
4712995,SHIELD-COVER 22811 AA513-QPM Copper-Nickel-Zinc,321. Structured parts-12.smt small hardware,4198,0,J4
9120583,DDR K3KL5L50CM-BGCT 16GB LPDDR5X 14mm*12.4mm 0.66 496ball D1a 7500Mbps,313.platform solution 03.storage IC,15860,0,O37
4713643,Stiffener AA530 stainless steel,321. Structured parts-12.smt small hardware,12601,0,J4
8242410,Surface mounted Resistor 1/20W 1kO ?5% 0201 Wentai,317.General Electronic Materials-07.RSistor,1260000,0,O19
8242451,Surface mounted Resistor 1/20W 100O ?1% 0201 #1 Wentai,317.General Electronic Materials-07.RSistor,225000,0,O19
8360480,Multi Layer ceramic capacitor 25V 470pF ?10% X7R 0201 # Wentai,317.General Electronic Materials-06.CAPACITOR,45000,0,O19
9051390,Acoustic Filter SWRA2G61UA02 Filter 2535-2675 MHz 0.67mm*0.37mm*0.34mm Longqi,316.rf devices-04.filter,80000,0,O19
9171398,LDO 6V 0.28V 2.8V 75dB 300mA DFN 1.05mm*1.05mm*0.5mm ET51528YB Longqi,317.General Electronic Materials-N/A,20000,0,O19
6.12E+11,PMU MT6319NP/A WICSP,313.platform solution 01. Chip IC,156000,0,J3
5019803,Packing  box AC047(22291) OPPO 184mm*98mm*65mm Export Universal,351. Package accessories -01. Color box,24102,0,M15
9440981,Display Screen 6.7inch LCD-LTPS Middle Hole tianma,311.Screen Type-02.display Screen,136295,0,O38
4714945,Plastic Mainboard top cover AB577 black PC+20%GF IN Longqi,321. Structural parts -23. Large plastic (upper cover),124580,0,O19
6.13E+11,Packing  box AB637 realme 178.5mm*94.5mm*64.5mm Export IN narzo,351. Package accessories -01. Color box,40574,0,M15
5280675,Printing Ribbon long 300m wide110mm 1511HT,351. Package accessories -06. Other auxiliary materials,5048,0,M11
5121757,Sillicon Rubber (ECS0601-B) Momentive ECS0601-B,351. Package accessories -03. Globe,8786.86218,0,
3884655,Needle RA199 (19720) Stainless steel Longqi,321. Structural parts-05. Small Hardware,140444,0,O19
9671657,Speaker FPC YFA238-0 FPC D0.134?2 ENI,315.PCB TYPE-02.FPC,4316,0,O13
5121802,Glue Weldbond 7025EH,351. Package accessories -03. Globe,647.11473,0,
4883727,Retroactive conductive cu foil BD365,351. Package accessories -06. Other auxiliary materials,4092,0,J7
4722260,Camera lens down AA407 black glass,321.Structural Parts-07.Lens,1000,0,J4
4885763,Front camera 32M Protect shell BD369 single-sided adhesive,351. Package accessories -06. Other auxiliary materials,5000,0,O29
2932218,Light sensor guide AA407 double color,321.Structural Parts-02.small Plastic,9999,0,M12
4885977,Silicone Safety Shield AA001 single-sided adhesive,351. Package accessories -06. Other auxiliary materials,25006,0,J7
4886973,REC PAD double-sided tape AA411,351. Package accessories -06. Other auxiliary materials,1010,0,M11
3886536,Antenna shrapnel at horn horn S97369 TiCu Wentai,321. Structural parts-05. Small Hardware,82131,0,O19
4888662,Speaker dustproof mesh AA255 black single-sided adhesive,351. Package accessories -06. Other auxiliary materials,5000,0,M11
9491395,Camera GC02M1-C24YB 2M 5.7*6.0*3.17 3P BTB BF222C,312.Camera-n/A,17981,0,O20
4890097,Speaker sealing foam AB257 Single side with glue,351. Package accessories -06. Other auxiliary materials,51947,0,J7
4890464,LCM grounding foam 2-5 AA438 single-sided adhesive,351. Package accessories -06. Other auxiliary materials,10000,0,M11
4890483,USB waterproof silicone sleeve AA269 Black,351. Package accessories -06. Other auxiliary materials,451,0,
5172175,Tamper proof patch AA293 OPPO 35mm*20mm*0.05mm IN Black,351. Package accessories -06. Other auxiliary materials,668174,0,O16
5121965,UV adhesive Fuller EA6115R Low temperature,351. Package accessories-26. Globe (low temperature),3674.83393,0,
5172250,Nameplate sticker AA295 OPPO 35mm*25mm*0.1mm 800g Export currency blank,351. Package accessories -06. Other auxiliary materials,18299,0,O16
4893770,3D TP protective film AB525 TP UV double curing,351. Package accessories -06. Other auxiliary materials,58417.85,0,M5
5172335,Tamper proof patch AB457 realme 20mm*35mm*0.07mm Longqi,351. Package accessories -06. Other auxiliary materials,107710,0,O19
4894894,Die cut accessories AA393 Front camera bracket double faced adhesive tape,351. Package accessories -06. Other auxiliary materials,20000,0,M11
5121973,TP bonding adhesive WELDBOND 7798B Normal temperature,351. Packaged materials-27. Glossom (normal temperature),18971.887,0,
4894941,Die cut accessories AC057 Light-sensitive double faced adhesive tape,351. Package accessories -06. Other auxiliary materials,5000,0,M11
4895240,Die cut accessories AA530 Battery cover dispensing PET film(top),351. Package accessories -06. Other auxiliary materials,10000,0,M2
4895239,Die cut accessories AA530 test point PET film(2),351. Package accessories -06. Other auxiliary materials,33033,0,O14
9820393,RF cable 143.5mm3.2.08.3065 f0.64mm white,341. Attachment -04.RF connection cable,37134,0,O22
9491663,Camera OV64B40 AF 64M 10.9mm*10.9mm*6.48mm 6P COB M64AP02,312.Camera-n/A,28600,0,O20
4895849,Die cut accessories AA531 Front camera bracket double faced adhesive tape,351. Package accessories -06. Other auxiliary materials,72022,0,O14
4896076,Die cut accessories AA520 test point PET film,351. Package accessories -06. Other auxiliary materials,306340,0,O14
4714579,Plastic SIM card lock sticker AC065 Black PC+20%GF,321. Structural parts-26. Large plastic (other),18150,0,M6
4896215,Die cut accessories AA520 C-FPC SUB BOARD BTB Waterproof silicon film,351. Package accessories -06. Other auxiliary materials,279120,0,O14
4714645,Composite plate battery cover AC081 Gold PMMA:PC with accessories,321. Structural parts -25. Large plastic (battery cap),826,0,O13
4896498,Die cut accessories AC069 Battery compartment Supporting foam,351. Package accessories -06. Other auxiliary materials,160,0,O14
6.12E+11,Protective shell AA531 TPU green IN,351. Package accessories-24. Protective shell,3804,0,M26
6.12E+11,RF cable 153mm 3.2.08.3263 f0.64mm black with ring,341. Attachment -04.RF connection cable,51839,0,O22
6.12E+11,Plastic SIM card tray AC111 Black PC+20%GF,321.Structural Parts-02.small Plastic,29900,0,M6
6.13E+11,Die cut accessories AA542 TP FPC PET film,351. Package accessories -06. Other auxiliary materials,34621,0,O14
6.11E+11,Fingerprint Sensor Module JV0103 13.56mm*2.18mm*1.3mm JAE BTB AC111 80000187 Coating Black No Bezel No DOME,317.General Electronic Materials-11.fingerprint Module,29750,0,J6
6.13E+11,Die cut accessories AC115 Light-sensitive waterproof foam PET film,351. Package accessories -06. Other auxiliary materials,698130,0,O14
6.13E+11,Composite plate battery cover AC115 Black PMMA:PC With accessories low configuration,321. Structural parts -25. Large plastic (battery cap),55142,0,O13
6.11E+11,Fingerprint Sensor Module JV0103H12N 13.56mm*2.18mm*1.3mm JAE BTB AB657_AB675 80000187 Coating lime green No Bezel No DOME,317.General Electronic Materials-11.fingerprint Module,33770,0,J6
6.13E+11,Composite plate battery cover AC101 Gleen PMMA:PC with accessories,321. Structural parts -25. Large plastic (battery cap),9690,0,O13
6.13E+11,Die cut accessories AC115 wifi shielding cover Supporting foam,351. Package accessories -06. Other auxiliary materials,40000,0,O14
4883986,Volume button FPC side adhesive Ra523 black,351. Package accessories -06. Other auxiliary materials,800,0,M11
4890031,Battery top foam AA438 single-sided adhesive,351. Package accessories -06. Other auxiliary materials,4812,0,J7
4896538,Die cut accessories AC069 Battery BTB Waterproof silicon film,351. Package accessories -06. Other auxiliary materials,2122,0,O14
6.13E+11,Color box brochure AA513 OnePlus 140mm*70mm*0.23mm V1.0,351. Package accessories -06. Other auxiliary materials,200,0,O16
8350403,Chip capacitor 50V 332 K X7R 0402,317.General Electronic Materials-06.CAPACITOR,10000,0,O28
8241157,Chip resistor    1/20W43O?5% 0201,317.General Electronic Materials-07.RSistor,45035,0,O28
8241312,Precise SMD resistor 1/20W80.6K?1% 0201,317.General Electronic Materials-07.RSistor,10000,0,O28
